Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,887 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,095",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,887 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,095",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,887 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,095",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,899 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,100",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,862 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,120",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,887 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,120",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,911 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,120",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,845 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,125",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,892 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,130",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,914 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,130",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,902 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,135",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,902 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,135",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,902 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,135",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,898 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,145",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,898 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,145",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,902 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,160",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,862 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,170",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,916 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,175",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,916 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,175",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,916 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,175",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,916 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,175",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,925 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,180",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,925 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,180",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,925 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,180",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,905 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,190",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,865 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,190",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,927 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,190",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,927 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,190",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,878 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,195",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,925 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,205",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,875 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,210",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,927 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,235",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,927 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,235",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,968 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,240",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,952 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,255",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,952 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,255",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,950 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,255",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,952 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,255",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,952 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,255",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,902 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,260",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,950 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,280",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
Cité L,Saint,"8205 Av Du Cirque, Montréal, QC H1Z 0B5",Montréal,"2 beds, 1 bath",2 Bedrooms,1 Bathroom,952 SQFT,"Air Conditioning, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Business Center, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,280",45.56148451200157,-73.6140321760005,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p798986/cite-l'acrobate-inc-apartments-at-8205-av-du-cirque-montreal-qc-h1z-0b5
